3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,Beneficial Agreement,1,Spell,Common,/,/,"Select any summoned creature. When it's blocked, gain 2 Life.
Discarded: Gain 2 Life."
,Indentured Servitude,1,Spell,Common,/,/,"Summon a Sell-Sword. If you control any Contracts, summon that many instead."
,Medicine Carrier,1,Underling Creature,Common,0/2,/,"Activate: 2 Life.
Discarded: Gain 2 Life."
,Preplaned Prophecy,1,Spell,Common,/,/,Draw 2 Innate cards then discard 2 cards to the top of your Deck.
,Sleuthy Surveiller,1,Underling Creature,Common,1/3,Pacifist,"Prepare: Mark a creature
Discarded: Mark a random enemy creature."
,Systematic Subjugation,1,Spell,Common,/,/,"Deal 3 damage split randomly between 2 random enemy creatures.
Devotion: 6 damage instead."
,Breach of Terms,2,Contract Spell,Rare,/,/,"Condition: An opponent attempts to cast a spell from their hand.
Nullify that spell, End this Contract."
,Convert Contractor,2,Underling Creature,Uncommon,1/2,Amped,"This card deals combat damage equal to its health.
Devotion: Has ""Enrage (Innate): Gain +0/+2."""
,Dark Omen Spy-Hawk,2,Underling Creature,Uncommon,0/5,"Pacifist, Flight",Discarded: Remove Pacifist.
,Defensive Acumen,2,Contract Spell,Uncommon,/,/,"Condition: 3+ friendly creatures have more health than attack.
Friendly creatures deal combat damage equal to their health."
,Escape Clause,2,Spell,Common,/,/,"Give friendly Loophole creature +0/+1.
Discarded: Give a random friendly non-Loophole creature Loophole."
,Life Pact,2,Contract Spell,Common,/,/,"Condition: You control 3 or more creatures.
When you Life, give a friendly creature +1/+0, Underlings gain +2/+0 instead."
,Pact of Non Aggression,2,Contract Spell,Legendary,/,/,"Condition: You have 5 or less Life.
Gain 10 Life. End this contract."
,Parchment Barrage,2,Contract Spell,Common,/,/,"Condition: Your opponent drew 2+ cards in single turn.
Draw two cards and end this contract."
,Power of Garsang,2,Contract Spell,Common,/,/,"Condition: You don't outnumber your opponent.
Aftermath: Give friendly creatures +0/+1."
,Reiteration,2,Contract Spell,Common,/,Doomed,"Condition: Cast an Innate non-Legendary non-Contract spell from your hand.
Add a Cantrip copy of that spell to your hand. End this Contract."
,Retaliation,2,Contract Spell,Legendary,/,/,"Condition: Your opponent cast a non-Legendary non-Contract spell.
Banish all copies of that spell from all opponent zones. End this Contract."
,Spell Limit Legislator,2,Underling Creature,Common,1/4,Pacifist,"Prepare: If your opponent played a spell last turn, draw a card.
Discarded: A random spell in your hand costs 1 less mana."
,Unfullfilled Obligation,2,Contract Spell,Common,/,/,"Condition: A friendly creature that never attacked dies and goes to the Graveyard.
Resummon that creature and give it Doomed."
,Unlawful Trespass,2,Contract Spell,Rare,/,/,"Condition: An enemy creature dealt direct combat damage.
The attacker that dealt the most direct damage dies. End this Contract."
,"Basumith, Reformed Devil",3,Creature,Legendary,2/4,/,"Your opponent's first spell each turn costs 1 less Mana.
When an opponent casts a spell, draw a card."
,Channeled Destruction,3,Ritual Spell,Rare,/,/,"In 10 turns, halve your opponenr's Life then destroy this Ritual.
Reduce by 1 turn each time you gain Life."
,Cooking the Books,3,Spell,Common,/,/,"Fetch 1 (non-Legendary spell), it cost 1 less Mana.
Discarded: A random spell in your hand costs 1 less Mana."
,Duplicity Specialist,3,Underling Creature,Common,1/5,Restless,Devotion: Has +2/+0 during your opponent's turn.
,Golden Silence,3,Spell,Common,/,/,"Suppress a creature.
If it was friendly, draw a card.
Otherwise, gain 3 Life.
Discarded: Shuffle your Deck."
,Illusion Weaver,3,Underling Creature,Common,1/5,Pacifist,"Deathblow: Summon a Decoy.
Discarded: Gain +0/+1."
,Messenger Raven,3,Underling Creature,Common,1/4,"Flight , Loophole","After this deals direct damage, all players draw a cards."
,Mystic Envisioner,4,Underling Creature,Common,0/4,/,"When a creature uses an Activate ability, gain +1/+0.
Discarded: Gain +1/+0."
,Resourse Equalization,3,Spell,Uncommon,/,/,"Your opponent discard a cards a random card then all players draw a card.
Discarded: Gain 2 Life."
,Restorative Alchemy,3,Spell,Uncommon,/,/,"Gain 3 Life and randomly add 3 Life Elexirs to your Deck.
Discarded: Randomly add 1 Life Elexir to your Deck."
,Shielded Enhancement ,3,Spell,Common,/,/,"Give a friendly creature +0/+3. If it was below full health, it also gains Armored.
Discarded: Give a random friendly creature +0/+1."
,Altering Fate,4,Spell,Rare,/,/,"Look at the top 4 cards of your Deck then put them back in any order.
Draw 2 cards."
,Decoy Disarray ,4,Spell,Common,/,/,"Summon a Decoy on the left and right side of your Creature Zone.
Discarded: Shift a random enemy Ritual or Enchantment to their hand."
,Field Bureaucrat,4,Underling Creature,Common,3/3,/,Your first spell each turn costs 1 less Mana.
,Reparations,4,Spell,Uncommon,/,/,"Kill an enemy creature with 6 or less attack.
Discarded: Give a random enemy creature -2/-0."
,Royal Filibuster,4,Ritual Spell,Uncommon,/,/,"Until your next turn, when a player gains or loses Life, reduce the amount to 1."
,Sneaky Saboteur,4,Creature,Uncommon,2/6,Pacifist,"Entrances do not trigger.
Prepare: Lose 1 health
Discarded: Gain +0/+1."
,Wounded Guardian,4,Creature,Uncommon,1/6,Loophole,"After losing Life, give another random friendly creature +0/+1.
Discarded: Give a random friendly creature +0/+1."
,Blood Moon's Blade,5,Creature,Uncommon,2/8,"Restless, Taunt","When blocked or targeted as a result of Taunt, deal 1 damage to all Marked enemy creatures.
Discarded: Mark a random enemy creature."
,Lowly Lieutenant,5,Underling Creature,Uncommon,2/5,Ranged,"After you Discard a card, summon a Sell-Sword."
,Lunareals Light,5,Enchantment Spell,Rare,/,/,"When a friendly creature with 2 or less attack is summoned, it gains +1/+0. If it has has Pacifist, +0/+2 instead."
,Merchand's Guard,5,Underling Creature,Common,3/5,/,"When you gain Life, this gains +0/+1.
Discarded: Gain -1/+1 and Loophole."
,Slick Grifter,5,Creature,Common,5/5,/,"After you gain Life, Deal 1 direct damage to your opponent.
Discarded: Gain 2 Life."
