3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,Adventurous Farmhand  ,1,Mercenary Creature,Common,1/2,/,Enhance: Gain +2/+0 for 1 Coin.
,Dead Or Alive,1,Spell,Common,/,/,"Deal 2 damage to a creature. If it dies, gain 1 Coin.
Enchance: Deal 3 damage instead for 1 Coin."
,"Eryk, Sole Survivor",1,Creature,Legendary,0/4,/,"All Last Word abilities trigger twice.
Aftermath: Return this to its owner's hand and increase its mana cost by 1"
,Frontline Squire,1,Creature,Common,1/1,/,"Entrance: Give a random creature in your hand +1/+1.
Enhance: 2 random creatures instead for 1 Coin."
,Infernix,1,Elemental Creature,Common,1/1,/,"Entrance: Deal 1 damage to an enemy creature. 
Devotion: 2 damage instead."
,Loot the Body,1,Spell,Uncommon,/,/,"Mark an enemy creature and give it ""Last Word: Your Opponent draws a card.""
Enhance: 2 enemy creatures instead for 1 coin."
,Merc Mule,1,Mercenary Creature,Common,1/1,Taunt,"Last Word: Give a random friendly creature +2/+0.
Enhance: Remove random for 1 Coin"
,Mercenary Mayhem ,1,Spell,Common,/,/,"Deal 1 damage to an enemy creature. Repeat once if you control a Mercenary.
Enhance: 2 damage instead for 2 Coins"
,Wanted Notice,1,Spell,Uncommon,/,/,"Randomly add 3 Assassin's Strikes to your opponent's Deck.
Enhance: Randomly add 6 instead for 2 Coins."
,Ambitious Eulogist   ,2,Creature,Common,2/2,/,"Entrance: Suppress an enemy creature that has a Last Word ability. 
Devotion: 2 enemy creatures instead."
,Dagger Supplier,2,Mercenary Creature,Uncommon,2/2,/,"After summoning an Innate Mercenary, randomly add a Call to Arms to your Deck.
Enhance: Gain +0/+2 for 2 Coins"
,Daring Swindler,2,Creature,Common,2/2,/,"Last Word: Add a copy of a random card from your opponent's hand to your hand.
Enhance: Deathblow / Last Word instead for 1 Coin."
,Dishonor Among Theives,2,Spell,Common,/,/,"Mark 2 creatures.
Gain a coin for each Marked friendly creature.
Enhance: Mark 3 creatures instead for 1 Coin."
,Exit Strategist,2,Mercenary Creature,Uncommon,2/2,/,"Entrance: Trigger a random friendly Last Word ability.
Enhance: Remove random for 2 Coins."
,Golden Gambit,2,Ritual Spell,Uncommon,/,/,"Lose all Coins. In 5 turns, gain 5 Coins or triple the Coins lost (0), whichever is greater.
After you Enhance a card, reduce by 1 turn."
,Meager Mideed,2,Spell,Rare,/,/,"Shift the top 2 Innate cards from the opponent's Deck to their Graveyard.
Enhance: 4 cards instead for 1 Coin."
,Pickpocket,2,Spell,Common,/,/,"Steal a random Innate card from your opponent's Deck then shuffle it into yours.
Enhance: Steal 2 instead for 1 Coin."
,Pickpocket of Tomeral,2,Mercenary Creature,Common,1/1,/,"Entrance: Gain 2 Coins.
Enhance: Gain +2/+1 and Amped for 2 coins"
,Shady Investment,2,Spell,Common,/,/,"Gain 1 Coin.
Randomly add 2 Stolen Treasures to your Deck.
Enhance: 4 Stolen Treasures instead for 1 Coin. "
,Weapon Carrier,2,Creature,Uncommon,1/1,/,"Entrance: Give all creatures in your hand +0/+1.
Enhance: +1/+0 instead for 1 Coin. "
,Avian Murder,2,Creature,Uncommon,1/3,Flight,"After this deals direct damage, add a Doomed copy of this card to your hand without this effect.
Devotion: When summoned, Unexhaust."
,Big Game Poacher,3,Mercenary Creature,Common,2/4,/,"Enrage (Marked): Gain +1/+0.
Enhance: Gain +0/+1 for 1 Coins.
"
,Cunning Snaremaster,3,Mercenary Creature,Common,1/4,Ranged,"Banes deal +1 damage.
Activate: Shift all Banes up 1 position in all Decks.
Enhance: 2 positions instead for 1 Coin."
,Devilish Larceny,3,Spell,Uncommon,/,/,"Steal a random Innate card from your opponent's Primary Faction Zone.
Enhance: Secondary Faction Zone instead for 1 Coin."
,Flaming Arrow,3,Spell,Common,/,/,"Deal 3 damage to an enemy creature If it was Marked, shuffle this into your Deck from your Graveyard at the end of your turn."
,Grave Robber,3,Creature,Common,3/1,/,"Entrance: Steal a random card from your opponent's Graveyard and give it Doomed.
Enhance: Remove ""random"" for 2 Coins."
