3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,Unshackle,0,Spell,Uncommon,/,/,Mobilize a creature from your Reserves for its mana cost.
,Dungeon Instigator,1,Creature,Common,1/1,/,Last Word: Mobilize 2 or loss
,Frenzied Fervor,1,Spell,Common,/,/,Unexhaust a friendly creature and it gains +2/+0 until end of turn.
,Mana Harvester,1,Elemental Creature,Common,1/1,/,Acctivate: Gain 1 Mana this turn.
,Skywatcher Sentry,1,Creature,Common,2/1,Flight,/
,Trapjaw stump,1,Creature,Rare,1/2,Taunt,Blocked: Deal X damage to bthe locker before combat where X is this creatures attack.
,Tribal Tactics,1,Spell,Uncommon,/,/,"Mobilize X or less where X is the number of firendly Nomads +1. Otherwise, Shift a creature from your Graveyard to your Reserves"
,Trusight Tracker,1,Nomad Creature,Common,0/2,/,Activate: Mark a creature.
,"Vexur, Death Evader",1,Creature,Legendary,2/2,"Amped, Quickstrike",Last Word: Shift this into your Reserves and it gains +1/+1
,Hungry Mimic,2,Creature,Common,2/2,Amped,Blocked: Deal 1 damage to the blocker before combat.
,Improvised Medic,2,Creature,Uncommon,0/2,/,"When a friendly creature is mobilized, gain 2 life Entrance: Mobilize 1 or less."
,Killer bee of Urwuste,2,Creature,Uncommon,3/1,"Amped, Flight","Mobilized: gain +1/+0.
Prepare: Sacrifice this creature."
,Kularan Warpaint,2,Spell,Common,/,/,"Mark 2 creatures.
Marked friendly creatures gain +1/+0. Marked enemy creatures gain -1/-0 until next turn."
,Mimicry,2,Spell,Common,/,/,"Draw a card. if it was a non-Legendary creature, add another copy to your hand"
,Rebellion's Spark,2,Elemental Creature,Uncommon,1/2,Armoured,Enrage(Elemental): Gain +1/+0.
,Shredder Beast,2,Creature,Common,1/3,Armoured,Attacking: Shift the top creature from your Deck to your Reserves.
,Spare None,2,Spell,Common,/,/,"Deal 2 damage to a creature. If it was Marked, 4 damage instead."
,Taunting,2,Spell,Common,/,/,"Give a friendly creature Taunt and ""When this creature is blocked or targeted by an opponent as a result of Taunt, Draw a card."""
,Wyvern Whisperer,2,Creature,Common,2/1,/,Entrance: Summon a Wyrmling. Devotion: Amped Wyrmling instead.
,Cry for Numbers,3,Spell,Common,/,/,Shift the top 3 Innate creatures from your Deck to your Reserves.
,Detoxis Shaman,3,Nomad Creature,Common,2/4,Backlash,Friendly creatures do not take Poison damage.
,Drakth's Call,3,Spell,Legendary,/,Doomed,Summon a Totem of Drakth.
,Energized Elemental,3,Elemental Creature,Uncommon,3/2,Amped,"Mobillized: Gain +1/+0. 
Last Word: Deal 1 direct damage."
,Gelatinous Mass,3,Ooze Creature,Uncommon,2/2,Taunt,Entrance: Give all creatures in your Reserves +1/+1.
,Grow the Horde,3,Spell,Common,/,/,Choose twice: -Summon a Slime. -Summon a Wyrmling. -Summon a Goblin.
,Hidebearer Huntress,3,Nomad Creature,Common,4/2,/,"Entrance: Other then Hidebearer Huntress, Mobilize X or less where X is the number of friendly Nomads."
,Leyline Aligner,3,Elemental Creature,Common,3/3,/,"When mobilized, add a copy of all friendly Elementals except Leyline Aligner into your Reserves."
,Monsterous Spore,3,Creature,Common,2/3,/,"Entrance: Draw 2 cards, discard any spells drawn to the Graveyard."
,Slime Prospector,3,Creature,Common,1/4,/,Activate: Summon a Slime.
,Smoke Signal,3,Ritual Spell,Common,/,/,"After 2 turns, Mobilize 5 or less. Otherwise, summon a random 5 or less mana cost creature from your Primary Faction Zone."
